,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sense bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
2022/02/01,15840516.71176,228246.72777,1360902.90076,2125315.68927,1859951.30865,4284306.36078,6004068.84503,6506131.509,1578789.5504599998,11838218.63123,2813189.10442,24830203.12614,394420.7714,4301579.41803,2334366.52439,333628.74785000004,447997.98139,1783033.34169,21019088.8577,470770.97536,15003674.62196,6990967.23313,565071463.89378,35788004.79381,5009005.002189999,1343898.40705,63239584.82117001,1046396.02961,2118653.44618,4737395.76105,4399706.288319999,806194.2553699999,3250794.15744,120921328.35458,3976251.43389,10033363.69471,6252419.7851,13359229.49954,32507699.38323,1688898.90926,2353318.66321,11855502.09336,886907.5902999999,241853335.70422003,72346435.00161,5449693.555739999,49137168.1887,826535.2989599999,3413443.99225,8881251.584449999,32524750.9639,4559527.612910001,134312238.75734,5050456.09146,2793015.25606,127940810.42412,2560561.7837300003,31511271.3142,729501.37038,2770968.4139300003,206674336.49710003,128209465.62209,78806658.39772,1780790.47591,58896763.09451
2022/03/01,15964753.49448,225953.70738,1325135.383,2224790.49463,1610702.1230799998,4863627.90235,6401095.16658,6759530.521160001,1693466.33616,13856247.35053,2999716.25349,26537932.2954,319793.11966,4138103.8401599997,2232075.94072,334666.88468,440279.90365,1685062.6677199998,19207491.74523,423543.35667999997,15478230.90173,6759959.915289999,571577556.2053499,35650530.614760004,4948829.53114,1290544.68294,62657158.62566999,943650.2971299998,1948486.21208,4323832.5037899995,3634974.21202,723275.1564499999,3608494.0196899995,109491954.54011,4101083.4296399998,9986940.14966,6159081.19295,12977419.658459999,32212166.18332,1685702.20425,2475845.77055,13290750.254900001,859715.36051,248003177.80701002,75516582.19668,5213324.435409999,44025141.488230005,â€¦,3350382.13492,8591433.78861,32410464.89051,4646150.6118,139048892.22832,4965062.42277,2289876.26536,123773599.4918,2484498.4511800003,30631608.57733,744384.4354500001,2481254.72952,214807573.81099,120825949.76647,83567380.14865,2087206.31221,62125538.80593
2022/04/01,16596939.90175,221619.87313,1452352.1376600002,2132970.4147,1775672.11043,5613487.53632,5736281.1845,6511587.96619,1674148.2793599998,12669957.23963,3430908.6463999995,22448765.27433,322532.54287000006,3436142.1884000003,2216478.68954,337997.27658,431031.42309000005,1626739.00415,18625182.29835,362563.46881,14379975.29629,6252519.000929999,582213774.1277499,36420144.93037,4926953.25994,1280864.0880399998,65697643.93003,854322.9715699999,1910026.00909,3605835.49789,3630282.25799,719509.2044599999,3017417.1216100003,104154455.03533,3148857.85119,9926119.14321,6228245.50082,14179330.26851,32396708.83607,1682495.89645,2218053.82058,11972092.793970002,927593.9185,250224048.60759,80208739.40789,5557690.38339,39532322.01743,817080.32335,3247938.26826,9284926.014640002,32560763.5899,4086445.72869,137572202.16439,4702783.34566,1906459.46103,114757360.94824,2522055.38321,29728842.37358,688253.76524,2295823.65852,208758746.7789,123605176.03056,85856683.02164,2033367.74292,66452395.02165001
2022/05/01,16155725.012579998,223343.58974,1390936.3528899995,2078584.46977,1663584.2977900002,5037746.172460001,5705313.306650001,6438385.574620001,1730494.3665,12188871.252539998,3112114.4571,22323623.31317,333820.9394,3747663.406800001,2225635.5418,339571.69957,398379.18577,1598634.0848,18376774.22916,357402.89403,14715867.91247,6192612.8954,592380163.18483,39739909.21382,4424975.74342,1277585.25461,67544941.09646,810960.98239,1964150.28097,3576903.4613500005,3921179.13651,726689.32809,2649241.16949,106122580.95228,3370982.61635,10138285.81457,6129003.30776,13695617.534140002,32546407.47727,1571451.43916,2294231.56135,11832714.56021,712704.1121799999,263697832.11918,80505540.62812999,5624341.03134,40149522.50428,718413.74613,3239793.9463400003,9076198.73218,33020662.01184,3902702.73135,144274292.48360997,4687398.382900001,2454545.2692500004,112566519.61548,2591832.39267,30651824.97544,693438.7917000001,2190686.67054,206942177.66856,128291308.2651,88038330.71344,1993354.05012,66071430.80959
2022/06/01,16759178.13598,220084.33268,1335934.36257,1971862.60758,1588156.17753,4738093.06209,5563821.2751,6526806.60725,1694174.34789,12388596.08077,2987971.90534,22471152.9375,314587.51698,3977605.4436,2344709.53599,334606.96585,397125.51934,1574116.47645,18829401.13754,353803.99115,14725781.69209,6089003.0693,606634946.36693,39049856.321,4533017.36849,1319390.9665400002,66567783.618120015,807489.6735100001,2043582.28534,3220842.9458700004,4469393.08292,714161.46141,1617928.5222999998,106496729.97394,3675451.0303,10385655.26869,6332530.706789999,12685918.340690002,33974043.699329995,1455234.90366,2038376.36908,11374490.3928,808728.48435,257059880.72918,80302216.75421001,5937993.43618,37639010.89671,763810.41455,3353475.92738,8998585.62221,33843243.97758,3946938.64782,145378066.20233,4657788.0137,2626139.42361,107350523.00429,2612065.83239,30776426.21292,678771.27423,2092369.37187,208857431.93838,129520506.1006,89486399.01280999,1916099.11379,65705740.8226
2022/07/01,17356999.018549997,215741.4064,1203599.01974,2128399.54804,1569397.74018,4084485.92022,5396557.53189,6668155.52766,1714066.92763,11568305.33834,3558921.90076,25508921.45336,339711.16178,3387903.78123,2339680.11437,332610.99382000003,403860.23652,1573717.38934,18033478.54194,366288.9660200001,12718952.48755,6742806.348649999,656975376.13299,38081798.56348,4660857.05932,1354132.677,64285519.85272001,843471.90852,1886939.53029,3478515.33602,4657295.32612,739049.37786,1564452.59558,109916178.87801,4057157.24662,9820429.13147,6777133.4808,12527173.2031,33987404.35274,1452837.01221,2205288.4085200005,11356431.95857,964186.34119,246263858.61041,80400876.74834,5111724.47088,36365570.88978,760331.01667,3315174.01035,8864009.851049999,33672420.30433,3771298.003610001,148240165.15913,4642893.69205,2738211.26614,104026469.83728,2346890.61118,30370055.831770003,653468.5568799999,2283672.45391,228608405.51357,139671405.65346,91476761.32767,1523416.87945,64682088.1682
2022/08/01,18171492.33618,213692.64856,1199973.21179,2120405.99613,1640959.42741,4105703.81414,5595895.246660001,6751392.40638,1694912.30535,11943130.85391,3651417.97673,26251947.48786,351360.35728,3382204.17738,2515343.94507,331614.52493,405146.58388,1649427.1189,18562385.42299,370529.95037,12058382.08224,6274867.97975,693177058.2729101,44546209.44885,4560418.13737,1412137.2949700002,70827945.28833,912937.3929,1942766.4536,3739937.00823,5417772.212300001,799880.4224299999,1434745.48213,116781509.5391,4477802.322,10158869.12933,7971060.50276,14748397.4947,36278430.78656,1569762.00619,2739508.0217100005,11514565.22804,860866.2723,259992709.09364,86441307.29364,5393485.289410001,39661103.88656,820925.99596,3465350.84452,9846572.67152,35793451.429419994,3615378.38498,162284153.69825998,3984092.5151,2985994.66535,112666536.34001,2369074.15985,31284066.04077,597716.4957199999,2050495.4577,260293031.47815,155364190.81715,101276189.2181,1428048.47784,70613210.63690001
2022/09/01,18801718.33062,219395.91478,1160601.54858,2040697.07588,1550694.18922,3988806.55289,5459736.25743,6978126.233270001,1553013.84312,12196883.68848,6275920.96856,26592605.7273,333796.35875,3498507.53139,2522776.99648,335978.34616,384940.35905,1769137.99775,19006792.97289,280580.95059,11363060.25391,5915277.721229999,708127678.51092,46295848.52868,4877196.978730001,1422570.7460200002,71339717.47416,887463.40481,1989584.60626,3175814.72526,5504069.26182,808088.87186,1439029.77909,114992518.89224002,4840590.979189999,10266040.27641,8024946.9344,13835309.514409998,37916725.48584,1399638.8222800002,2269870.40062,12484007.59003,883539.91715,268216694.80778,87115684.22971,5369360.029240001,39338752.30038,812558.85101,3587383.68603,9748558.42339,36181758.41991,3517866.03936,158187960.1113,2986839.0044500004,3382534.1693,111156517.80716,1797963.64202,30700404.0809,459162.56482,2023889.9854,229065329.63784,154782988.89049,100962400.04683,1619065.19079,72421504.21657
2022/10/01,20286333.18697,213383.52631,1167398.59505,2296932.83079,1602560.5086599998,4179867.21622,5394116.61713,7087828.36397,2158716.54551,11832373.39058,6333874.671789999,27160318.353510004,363213.54218,3722049.80593,2475738.24071,330995.36551,380591.03519,1636954.93528,19073294.882590003,286300.79532000003,12439395.36835,5797097.30422,688103235.90882,48103055.60676,4933666.75287,1414980.08662,71458240.21831,956705.74519,2014396.24883,2973339.42797,5464226.07637,862293.0765900001,1453147.13579,118542986.87712,4561624.394839999,10198446.1973,8149689.19614,14771689.05251,37322529.22772,1368449.80588,2195157.16898,12825095.6448,891542.6331600001,268697567.4373,87201611.6822,5398860.5373,41031040.89737,797356.10582,3532692.27408,9877004.76971,35903908.50439,3673632.63466,163298878.16836998,2497877.75353,3629800.27327,104559924.61227,1642744.00503,30008687.67398,331797.71185,2318693.68127,245996236.73435,160010063.2759,100815880.56478,1843686.54651,78254434.79125999
2022/11/01,20377257.70344,211519.62147,1341657.1052700002,2256078.3679400003,1679268.8554399998,4038978.6683,5343408.70766,7461108.65042,1573098.26411,12066784.125689998,6715775.3442400005,26757146.92785,349660.43017,3469699.50146,2459985.73005,335778.02335000003,391746.54074,1610952.85764,19590043.72519,284627.07931,12570534.07245,6302136.85894,706142178.75302,51835643.68321,5402682.88107,1420140.25097,73362782.66304001,952498.80199,2054315.73123,3347772.55767,5483225.64063,854313.60068,1210697.32376,123817595.23659,4321500.28877,10372927.78987,7595697.076239999,15847649.907460002,38818606.48910999,1400553.2949100002,1968219.54869,12217585.104309998,932931.92508,270806504.3327,92781008.28507,5850122.65646,42963293.17976,810809.3083599999,3571343.10284,10150884.37364,36176136.63768,3682414.56506,169193492.4647,2289971.63326,3730693.22707,96066305.15031,1728854.31787,30411131.18302,296713.96232,2323494.32779,267423050.11299,155456514.48958,106487152.98882,2438992.36429,81072383.53185001
2022/12/01,21321763.63446,208836.06289,1497436.69038,2636640.89442,1615905.55853,4889228.38752,4755699.77132,7461272.24665,1772534.44974,12148083.40503,9593669.80951,25623396.68619,360923.32869,3564509.81099,2576683.72664,333803.70534000004,420601.38637,1384526.07834,19159078.18625,280512.55399000004,12961526.25448,6037140.71455,710086414.31086,53914486.26177,5007084.82252,1444251.05611,75154818.57112001,967428.41928,2101028.24297,3607982.06737,5252361.80281,877907.94357,1184301.39516,125366551.4684,3797308.96901,10457558.86559,6914132.374569999,16764759.71573,39884574.18679,1369840.2709,1623518.0631100002,13316205.31726,1001316.0707,282828210.61815995,97612810.49727,5894882.38805,46044810.87096,815061.4752499999,3882537.03544,10238969.61603,36411603.55455001,3781689.77632,176110653.85202003,2251661.75428,4013760.74601,95493134.65873998,1928100.57526,30748779.585240003,279832.86559,1695033.63754,252191770.75473,150030242.16,106513295.45543,2106227.56899,85248199.89927
2023/01/01,22072445.27729,212971.38566,1910234.8079,2776911.09726,1741550.71686,5898280.724839999,4738438.065750001,7617356.98843,1667324.54498,11195715.79772,9538838.01195,21299395.99636,411625.81465,3934821.57025,2684567.72756,352015.44641000003,430680.77871,1456169.66147,21167609.65639,278741.40865,12519342.2223,7654343.02663,737413903.9701298,52198493.21167,5848833.351519999,1382274.39903,79245229.09144,1174594.3592,2275225.711,3451193.81991,5315570.83749,966070.84906,1179639.71492,127791944.34312,4466502.40802,10184615.10928,7013805.709980001,16022897.92113,41619657.38385,1509245.60656,1527650.45617,11408834.33963,867150.4916000001,298158416.9177,100416887.52636,6436005.33974,49655164.79508,847597.73369,4463363.08842,10552087.35638,36552409.92399,4290140.167280001,187290030.47866,2583416.1962,5319449.70072,96063275.70045,2171866.44017,32413600.46296,278077.32897,2367366.29352,256500983.59949,146351167.56440002,113072946.86456,2344821.4692300004,95220717.84483
2023/02/01,23142458.29454,208979.98313,1441905.59508,3486420.09186,1726425.36918,5598892.59607,4614202.16795,,1609268.75773,11160893.82832,9981123.30083,19659169.13728,358055.81330999994,4069181.91545,2635007.36397,339625.71896,429778.20308,1374521.69011,21245815.19947,293939.64712000004,12332638.10444,7126478.53608,731936384.15603,55465652.70705,5759675.603370001,1390428.83102,81029187.35808,1186237.3710500002,2199083.74638,3457058.09177,5645590.61797,1007207.88975,1168854.07886,127843757.10499,6386492.64962,10600025.8378,7985358.922839999,16223581.51828,42532651.8409,1440629.0107,1606515.1327600002,12037139.68034,777583.6087,301562537.82942003,101364676.98321,6364368.3003,47277759.603750005,863954.3620999999,4347998.356829999,10389595.09787,36834125.74875,4272919.99221,188670725.42472,2418907.55162,5514276.142200001,95000426.44226,2281145.64908,31750675.3071,277870.84883,2760715.5203,271961007.77360004,144123879.43084997,114267252.90289,2201139.23824,93099100.35741
2023/03/01,24148182.77273,215778.60278,1622805.58306,3309879.91033,1739392.80416,5973133.078439999,4110436.97309,,1757870.98222,11910080.80211,10129017.50768,19512204.79712,403463.47184,4304658.269069999,2707130.72909,340162.61369,430057.3814000001,1871939.3694,20560016.52411,287701.53999,12044610.8791,7826786.976389999,740266026.4433,58676980.57807999,5784110.93858,1349640.0317600002,86045834.92471,1118831.25397,2138076.5296600005,3359320.07091,5603453.888079999,948748.04792,1106143.6501999998,126981496.2105,,10348921.156659998,8663868.75666,17268551.81826,42239391.67699,1382675.33744,1639106.1491,12206874.56163,740537.09089,311188457.10998,97864481.0202,6159259.86297,50250418.57133,887264.2569100001,4175395.95579,10337458.24585,37035488.04449,4178515.51764,190214931.40297,2452262.07854,5393292.14924,96877283.81315,2335059.05298,32021323.62896,277218.97805000003,2480370.7653900003,273653286.16257,149044279.63184002,116802518.92734,2143465.5717800003,95724631.84081998
2023/04/01,23927839.74002,214066.80916,1402788.35422,3768465.70714,1924436.86769,4680551.19499,3796283.96824,,1678657.63967,12892089.89848,1522435.59872,21588446.72091,447078.59513,4602107.29895,2693298.37963,342862.43754,427420.25512,2336899.4889,20976177.90717,282555.41116,11861748.979479998,7071653.16334,747828774.4273,59993458.646680005,5171601.544910001,1329255.9168500002,92905019.04594,1200748.61212,2243377.20029,3529298.39984,5670368.47144,970237.01605,1081783.8870400002,125321935.64822,,9960408.23187,8466747.94702,20551072.02574,43856251.36712,1528901.29237,1472368.61519,12960218.63104,721402.03532,306305522.99104,103981028.70621,6881573.55413,50736231.71482,871057.44936,4008306.23172,10982435.81534,37784681.16454,4544967.25524,184303689.07911,2506237.77962,5115378.76597,97653529.63283,2311002.3965600003,33682260.52915,279460.56059,2234812.92361,269517252.62737995,161091141.80341002,119513893.21256,2222999.65658,97958950.10313
2023/05/01,24166058.95751,213978.11117,1377053.32791,4488215.29331,1874754.63172,4725781.57936,3786377.42503,,1716202.64095,13900640.11162,1560636.6928799998,20375165.28432,430215.14269,3910218.1341,2798732.95702,342971.3954,375827.11222,2294919.13055,22616568.68833,281802.85903000005,13131784.28956,7411308.518649999,759311422.64436,57685693.56659,5069117.372459999,1381479.76594,93392254.52893,1187390.6097199998,1926939.97746,3403661.6353700003,6070421.77964,874391.22767,1048714.02795,128576984.82842,,10097248.06231,9766194.153569998,20922417.53883,45498740.53772,1490633.53209,1364669.3566499995,13097414.50636,795633.12243,311898177.67059,108367392.88292,6824433.017940001,52083801.21311999,896151.82371,4216908.88725,11036834.4623,38324661.83997,4654706.94018,191455603.44124,2383807.65703,5388645.23844,97191989.46095,2282405.75893,34427827.79717,283548.84494,2144830.04028,275462519.78698003,164381770.50481,129812504.71449,2187615.84556,101030723.45542
2023/06/01,24694745.28245,210410.56731,1484247.42097,5021498.95716,1885132.4691200005,4833312.0378,3817615.51755,,1728391.69789,13824691.49519,1501492.31624,21054315.25675,380151.922,4063017.74415,2849866.93875,338589.74661000003,370272.05235,1405962.1221,22793906.57257,273137.55564000004,15056259.35999,7820058.293509999,742433484.06888,61483082.31427,4908707.44154,1324939.70102,96744837.50489,1283309.37271,2002674.72297,3483899.26262,5883846.88438,806500.11479,954928.853,131956452.18873,,10240736.45757,9456745.62193,21237705.83071,46854056.01113,1529433.97228,1290874.31817,13903426.254670002,739764.41232,313652628.93174,103327424.79615,7156519.350009999,55058789.21946,873060.4454399999,4293869.41402,11044777.19662,39205271.99856,4796619.0018,184200274.05228,2556110.4187600003,5361734.266900001,96637567.42859,2381966.6446300005,36063326.05176,300778.26554999995,1965602.62595,274045567.20987004,171285577.64812,132160651.97032,2608906.99347,100240406.21136
2023/07/01,25327807.23215,210510.26265,1567007.72528,5535198.85599,2132081.98875,4668801.611729999,3827679.99896,,1517148.36867,12418742.25778,1363272.30111,20524488.63841,435791.97777,4584401.226009999,2957673.72364,338885.13224,355417.14166,1277426.09968,23190042.23328,271606.11327,14688814.915089998,8529773.9094,761943462.32789,60965253.50262,5703013.107369999,1364392.0291300002,100915637.30612,1297716.89024,2198743.5796,3430429.93703,5113513.563829999,836669.4351900001,920728.59819,137657339.37212,,10057193.829209998,10043745.44812,23003767.32738,48450639.46631,1524644.9013200002,1219476.5912799998,15196016.64378,783895.3188,324741437.87735003,102593138.95055,7364834.5515,59638331.41559,863106.77535,4326916.03694,11572657.48354,39095662.47862,4914829.18801,187426793.51198,2679024.37938,6639108.90493,96615246.98116,2532376.58577,36472869.22583,314920.30476,2465301.6790499995,279111515.78002,167972294.07729,138147496.62741,2943997.84797,101700907.40904
2023/08/01,25180112.775640003,212854.72115,1566560.5927199998,5317515.808,2035482.79657,,3984350.78538,,1526501.5250699995,11972141.48232,1447096.49904,21024464.80207,401763.75934,4491545.730629999,3071188.2697300003,341608.03313,359190.26452,1404344.8127700002,23630948.23331,281050.64268,14543405.56071,9490733.93821,777563028.1255399,62174227.57749,5979375.28364,1429184.50092,101438065.25958,1561519.6652300002,2286588.44027,3468212.4234900004,5067684.872010001,813909.8168,511921.98437,143716766.47097,,9913078.337730002,10937005.79506,23507227.32519,50123982.88816,1473578.92175,1292261.7557499998,14855617.62878,781949.54438,335579158.44024,103530147.35376,7263759.283089999,60719905.89595,872712.19667,4363972.829700001,11445582.17077,40416501.16016,5213184.24081,193923389.12377,2827101.22296,6735500.870260001,95782388.45052,2576963.73699,37723591.91964,332797.47252000007,1745566.03137,281057574.57478,172854258.75215,142382553.92547,3027300.60576,102995590.06555
2023/09/01,25596522.87607,211932.77038,1369667.6717599998,4845337.67844,2060231.06008,,3933912.46837,,1224122.7656200002,12405201.91852,1521608.30669,20324104.00539,396310.58275,4111603.28853,3119259.946,341529.81967,345774.89733000007,1471074.94829,24185997.10463,300618.00815,16484571.281610005,9942329.8023,782315567.6145099,65622074.49231999,5687441.5553,1369323.2502199998,101149391.44913,1486971.65358,2137809.30649,2463018.17785,5129419.62229,786528.99496,502018.44932,145029213.73920998,,10185506.42252,9683064.80177,24085116.38477,52054276.99086,1466967.6113399998,1204625.97841,14838329.18205,711391.9585300001,337985587.86592007,102694200.60176,7703557.706329999,56426925.6136,872399.13307,4448338.048020001,10699356.56642,39737886.15984,5390731.78487,195037504.31527,2845310.06196,7388704.10874,103395282.04577,2659246.16815,38260608.81618,353530.93586,1340040.90015,269629732.51203,168602608.45902997,140602521.71578,3126287.91154,104224442.75586
2023/10/01,26496036.52588,211615.42902,1448670.21207,4680553.53012,2083207.94062,,3934011.66305,,1132937.8535,12858305.164360002,1334811.4167000002,20746198.32503,433024.55867,4058123.00803,3097637.68144,341518.98303,342976.06665,2852315.63144,23218946.72847,294318.96193,16379857.71179,10810362.57324,798779234.44881,69149529.81242001,4958740.49109,1382452.3671,100365221.10966,1444910.4803,2016085.03669,2478667.22442,5761908.27189,797035.42892,481716.83958,145751639.60062,,10156231.23678,10757155.85111,24863218.62205,51498091.53635,1437253.17867,1214557.68791,16235591.56779,789796.92918,343000055.84053,103135106.72097,6880307.895659999,52648246.95394,871645.8268500001,4657580.28602,10613397.90472,39773146.97659,6061590.98162,196352014.21639,2933367.27832,7989329.491439999,107971270.56714,2698993.73225,35868786.879480004,421027.19781,,263458512.56099,166436062.03035998,137397115.96493998,3180008.66885,107572479.60787
2023/11/01,26713793.7458,210908.99187,1383685.67697,3752475.35394,2635509.2527400004,,3928285.78361,,1374022.54244,13068922.48632,1086151.1607100002,21227658.279670004,401508.39693,4219194.61476,2985199.11437,342100.66039,337644.50201,2379249.8619500003,23302706.79837,285236.9841,19556242.64856,11072609.34134,804145626.7891301,67345747.32234,5093568.0204,1422976.11762,105617456.88935,1330172.0204200002,2141957.93391,2259122.72783,6653354.34056,848263.0904800001,485214.52368,147681699.04767,,10343815.4268,11256950.46031,25381111.66821,51859308.159200005,1312012.33027,1223747.38319,17041098.765449997,777922.56372,346855449.15183,108562675.20675,7257145.58122,53931669.24079,883994.4282500001,4611442.65584,10850754.04813,39666713.72472,6285279.350199999,194436266.8538,2874094.96742,7986963.402149999,115572839.22047,2844724.34158,34435167.457150005,353454.96624000004,,255011438.09945,172240288.53358,134549461.21936998,3118198.23534,109798919.77192
2023/12/01,27628774.86444,205650.6629,1462045.8670799998,3436972.558,2402183.54602,,4001891.31851,,1547379.5023,13325150.43246,1173482.88907,21074043.44188,399907.08139,4234310.44157,2922105.28524,341891.06952,338521.82047,1953326.53608,24525247.10149,309267.45292,18639289.39025,11509305.97884,833028582.93969,71502207.16376,5053688.64285,1441868.72478,103072437.81694,1301021.0878799998,2115828.14523,2244831.23349,6531545.12309,891039.0060999999,465734.09282,152667901.64231,,10480776.18099,11745225.92748,26072574.2155,53070624.22048999,1320163.39999,1250509.23097,17381861.408379998,805893.37845,349829538.20150995,106380055.66071,7288206.26264,55182518.64721,929449.21214,4712168.317,11105422.63455,39651659.593770005,6591613.4377500005,197837927.13371,2987951.53376,8783067.60297,123662238.16131,3003660.34894,34918644.19205,364215.1741,,255240526.23904,180855841.59097,139453880.58437,3304224.0097100004,112473347.8801
2024/01/01,28162092.9646,203799.84078,1622837.12114,4122031.90724,2702550.64716,,4139697.24897,,1560987.33209,13716111.33968,1364032.58054,22599243.08675,511862.53562,4354408.657210001,3338337.78792,324890.93988,344972.76066,3367251.65268,29800324.61204,445116.9261,21152527.00509,13962450.02946,878249698.57327,68945978.37825,6086458.42753,1443062.0239100002,111086018.89543,1263147.16531,2615866.41526,2420695.68172,6562594.275939999,1271659.86483,502307.95115,162546189.42321002,,10805816.45486,12027798.70005,27219347.48139,58818708.39104,1308783.38553,1083580.64131,19220255.66125,880446.0862599999,369648417.15736,111011180.56698,8452561.14029,58527274.57726,920856.11986,5098759.88299,11228171.00762,40811402.23236,7833841.88907,203552185.14412,3937935.39611,8062310.930310001,131199437.77167,3244634.01236,37535281.83336,413649.93596,,285416620.3565,190282631.39727,147102938.76042002,3596124.47071,127159475.75417002
2024/02/01,27366892.84822,202845.04164,1575141.4208299995,3812545.70254,2730007.04724,,4291142.018759999,,1519171.73207,13325655.943580002,1042938.4869,22131051.99503,475855.50012,4306961.83148,3162718.68971,336526.41472,341655.0551,2554414.97942,26821772.97144,365953.54594,21570047.07792,12086601.24949,862636105.1868,70121395.03422,5693711.1895200005,1352212.52874,113854774.04768,1341332.87939,2549873.47189,2412223.04781,6602841.02261,990018.19856,433928.75735,158861363.85627,,11082656.64103,11130354.26204,26729113.50391,56229636.07021999,1290546.58694,1251168.93816,18679422.456,878496.16901,369564190.026,111291185.12854,8329582.325719999,57719735.69171,901178.64736,5150356.75205,10962195.75328,41503201.42829,7231647.626300001,207941863.76147,3290573.98714,7914259.435870001,131899447.70109,3352388.204,36669050.603750005,482309.81183,,274647457.43218994,189991193.9953,148079268.08569,3604852.16695,119697841.44896
2024/03/01,28183753.55494,191846.45545,1593926.9689899995,4689533.07396,2666192.72094,,4214019.42547,,1548946.17446,12872654.51315,1298328.20055,22792525.77938,479671.38143,4239464.1659200005,3055505.763710001,324183.53967,335088.63736,2856146.74875,26762601.12069,307150.35344999994,21052168.97497,11415504.16404,848643343.37598,71294269.3521,5800112.65793,1339615.5133300002,117497901.52943,1376675.03121,2323916.90292,2337281.72843,6932500.67699,1032756.03114,449277.46079,163011158.58827,,11011661.88434,13700987.96985,29209725.37346,56553969.31953,1187349.26708,1329033.05859,18659569.636530004,913408.44127,376361059.12974,111561819.82976,8150002.06654,56889301.50344,913067.38383,5167409.60776,10793270.24136,41955662.36902,7205638.998509999,212149624.20099,3088100.68574,8180901.09794,131636610.20716,3044019.82133,38465381.45798,523734.3683,,280032382.08674,184450775.73684,151159987.23623,3786997.09712,121345459.57233
